0.0	0.644
0.1	0.787
0.2	0.592
0.3	0.338
0.4	0.63
0.5	0.946
0.6	0.441
0.7	0.158
0.8	0.396
0.9	0.947
1.0	0.282
1.1	0.928
1.2	0.224
1.3	0.488
1.4	0.562
1.5	0.037
1.6	0.108
1.7	0.993
1.8	0.342
1.9	0.903
2.0	0.493
2.1	0.729
2.2	0.544
2.3	0.028
2.4	0.761
2.5	0.815
2.6	0.862
2.7	0.381
2.8	0.402
2.9	0.31
3.0	0.625
3.1	0.642
3.2	0.092
3.3	0.792
3.4	0.432
3.5	0.223
3.6	0.596
3.7	0.919
3.8	0.567
3.9	0.885
4.0	0.775
4.1	0.769
4.2	0.754
4.3	0.685
4.4	0.868
4.5	0.875
4.6	0.047
4.7	0.36
4.8	0.039
4.9	0.618
5.0	0.113
5.1	0.548
5.2	0.521
5.3	0.519
5.4	0.355
5.5	0.371
5.6	0.565
5.7	0.969
5.8	0.791
5.9	0.315
6.0	0.263
6.1	0.35
6.2	0.558
6.3	0.332
6.4	0.637
6.5	0.297
6.6	0.785
6.7	0.503
6.8	0.945
6.9	0.162
7.0	0.191
7.1	0.028
7.2	0.016
7.3	0.269
7.4	0.375
7.5	0.459
7.6	0.478
7.7	0.362
7.8	0.036
7.9	0.698
8.0	0.169
8.1	0.547
8.2	0.893
8.3	0.308
8.4	0.469
8.5	0.48
8.6	0.047
8.7	0.116
8.8	0.924
8.9	0.306
9.0	0.329
9.1	0.546
9.2	0.92
9.3	0.731
9.4	0.188
9.5	0.201
9.6	0.864
9.7	0.753
9.8	0.902
9.9	0.881
