0.0	0.1
0.1	0.11
0.2	0.12
0.3	0.13
0.4	0.139
0.5	0.148
0.6	0.156
0.7	0.164
0.8	0.172
0.9	0.178
1.0	0.194
1.1	0.199
1.2	0.203
1.3	0.206
1.4	0.209
1.5	0.21
1.6	0.21
1.7	0.209
1.8	0.207
1.9	0.205
2.0	0.191
2.1	0.186
2.2	0.181
2.3	0.175
2.4	0.168
2.5	0.16
2.6	0.152
2.7	0.143
2.8	0.133
2.9	0.124
3.0	0.114
3.1	0.104
3.2	0.094
3.3	0.084
3.4	0.074
3.5	0.065
3.6	0.056
3.7	0.047
3.8	0.039
3.9	0.031
4.0	0.024
4.1	0.018
4.2	0.013
4.3	0.008
4.4	0.005
4.5	0.002
4.6	0.001
4.7	0.0
4.8	0.0
4.9	0.002
5.0	0.004
5.1	0.007
5.2	0.012
5.3	0.017
5.4	0.023
5.5	0.029
5.6	0.037
5.7	0.045
5.8	0.054
5.9	0.063
6.0	0.072
6.1	0.082
6.2	0.092
6.3	0.102
6.4	0.112
6.5	0.122
6.6	0.131
6.7	0.14
6.8	0.149
6.9	0.158
7.0	0.166
7.1	0.173
7.2	0.179
7.3	0.185
7.4	0.19
7.5	0.194
7.6	0.197
7.7	0.199
7.8	0.2
7.9	0.2
8.0	0.199
8.1	0.197
8.2	0.194
8.3	0.19
8.4	0.185
8.5	0.18
8.6	0.173
8.7	0.166
8.8	0.158
8.9	0.15
9.0	0.141
9.1	0.132
9.2	0.122
9.3	0.112
9.4	0.102
9.5	0.092
9.6	0.083
9.7	0.073
9.8	0.063
9.9	0.054
